"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2026","1,466.51","1,491.91","1,515.99","1,466.51","16.11B","-4.04%"
"02/27/2026","1,528.26","1,522.56","1,545.31","1,520.90","12.31B","-0.35%"
"02/26/2026","1,533.64","1,528.03","1,535.88","1,519.20","10.66B","1.16%"
"02/25/2026","1,516.01","1,505.72","1,522.70","1,502.67","12.34B","1.72%"
"02/24/2026","1,490.40","1,481.78","1,492.62","1,468.00","10.97B","0.69%"
"02/23/2026","1,480.24","1,488.27","1,506.08","1,468.02","12.24B","0.04%"
"02/20/2026","1,479.71","1,491.68","1,495.44","1,474.07","12.23B","-0.95%"
"02/19/2026","1,493.91","1,473.24","1,496.61","1,471.12","12.54B","1.86%"
"02/18/2026","1,466.67","1,462.82","1,470.83","1,456.90","10.37B","0.48%"
"02/17/2026","1,459.68","1,437.73","1,460.57","1,433.91","10.05B","1.50%"
"02/16/2026","1,438.09","1,441.30","1,447.68","1,432.74","8.09B","0.54%"
"02/13/2026","1,430.41","1,437.01","1,443.97","1,426.41","11.49B","-0.77%"
"02/12/2026","1,441.53","1,413.90","1,441.53","1,412.45","11.67B","2.11%"
"02/11/2026","1,411.70","1,411.75","1,418.23","1,408.69","8.89B","0.09%"
"02/10/2026","1,410.44","1,412.32","1,414.95","1,402.29","9.31B","0.68%"
"02/09/2026","1,400.89","1,390.57","1,407.74","1,384.61","13.90B","3.46%"
"02/06/2026","1,354.01","1,342.31","1,361.52","1,341.55","7.38B","0.58%"
"02/05/2026","1,346.23","1,344.20","1,351.98","1,338.32","8.45B","-0.02%"
"02/04/2026","1,346.54","1,338.78","1,347.42","1,337.87","8.05B","0.78%"
"02/03/2026","1,336.11","1,330.41","1,348.76","1,328.27","8.72B","1.11%"
"02/02/2026","1,321.42","1,321.15","1,324.45","1,308.04","6.93B","-0.32%"
"01/30/2026","1,325.62","1,325.14","1,331.62","1,322.35","6.59B","-0.41%"
"01/29/2026","1,331.07","1,338.41","1,342.19","1,326.83","6.82B","-0.58%"
"01/28/2026","1,338.90","1,340.44","1,344.87","1,331.70","6.79B","0.33%"
"01/27/2026","1,334.45","1,310.29","1,336.50","1,308.14","7.41B","2.09%"
"01/26/2026","1,307.07","1,312.71","1,313.06","1,302.74","6.91B","-0.56%"
"01/23/2026","1,314.39","1,313.00","1,323.57","1,309.65","7.56B","0.21%"
"01/22/2026","1,311.64","1,320.23","1,327.91","1,305.21","9.56B","-0.45%"
"01/21/2026","1,317.56","1,300.71","1,320.09","1,299.64","8.85B","1.63%"
"01/20/2026","1,296.37","1,283.91","1,306.15","1,283.48","8.43B","1.03%"
"01/19/2026","1,283.20","1,273.96","1,288.23","1,271.80","6.68B","0.60%"
"01/16/2026","1,275.60","1,261.78","1,278.55","1,257.85","7.48B","1.13%"
"01/15/2026","1,261.39","1,241.07","1,262.83","1,236.86","7.86B","1.37%"
"01/14/2026","1,244.30","1,239.65","1,247.30","1,235.86","5.97B","0.73%"
"01/13/2026","1,235.30","1,249.49","1,251.04","1,232.40","6.28B","-0.56%"
"01/12/2026","1,242.20","1,258.20","1,259.68","1,241.47","6.01B","-0.95%"
"01/09/2026","1,254.09","1,255.84","1,265.09","1,251.95","5.27B","0.04%"
"01/08/2026","1,253.60","1,263.12","1,268.61","1,251.40","5.57B","-2.13%"
"01/07/2026","1,280.82","1,273.68","1,281.04","1,272.83","6.94B","0.48%"
"01/06/2026","1,274.75","1,280.42","1,282.43","1,270.50","5.84B","-0.41%"
"01/05/2026","1,280.05","1,271.72","1,287.47","1,269.69","6.72B","1.62%"
"12/30/2025","1,259.67","1,251.35","1,260.47","1,251.35","5.33B","0.45%"
"12/29/2025","1,254.03","1,258.71","1,260.67","1,246.83","4.49B","-0.41%"
"12/26/2025","1,259.25","1,265.16","1,267.30","1,256.35","3.72B","-0.44%"
"12/25/2025","1,264.77","1,274.72","1,274.92","1,262.41","3.69B","-0.83%"
"12/24/2025","1,275.33","1,272.58","1,275.33","1,269.02","5.16B","0.33%"
"12/23/2025","1,271.11","1,272.42","1,278.12","1,268.97","5.97B","0.11%"
"12/22/2025","1,269.68","1,261.50","1,270.16","1,258.74","5.79B","1.40%"
"12/19/2025","1,252.19","1,254.32","1,257.50","1,248.35","5.48B","0.17%"
"12/18/2025","1,250.07","1,258.50","1,262.63","1,243.94","6.85B","-0.54%"
"12/17/2025","1,256.85","1,261.85","1,265.17","1,255.12","6.01B","-0.30%"
"12/16/2025","1,260.68","1,269.07","1,269.07","1,258.54","5.61B","-1.00%"
"12/15/2025","1,273.40","1,249.72","1,273.40","1,248.07","6.27B","1.54%"
"12/12/2025","1,254.10","1,255.75","1,263.34","1,252.65","8.30B","0.04%"
"12/11/2025","1,253.54","1,274.50","1,274.50","1,250.29","5.35B","-1.29%"
"12/09/2025","1,269.87","1,263.29","1,269.87","1,262.67","4.34B","0.67%"
"12/08/2025","1,261.39","1,274.23","1,279.54","1,258.47","5.67B","-0.97%"
"12/04/2025","1,273.77","1,279.04","1,284.32","1,270.89","5.49B","-0.08%"
"12/03/2025","1,274.82","1,276.88","1,282.87","1,272.63","5.64B","-0.22%"
"12/02/2025","1,277.58","1,278.75","1,279.35","1,267.64","5.54B","0.08%"
"12/01/2025","1,276.57","1,259.02","1,278.63","1,257.22","7.27B","1.58%"
"11/28/2025","1,256.69","1,256.74","1,264.11","1,251.14","5.85B","0.32%"
"11/27/2025","1,252.71","1,264.36","1,264.79","1,251.94","4.92B","-0.67%"
"11/26/2025","1,261.18","1,274.24","1,274.61","1,259.33","6.38B","-0.60%"
"11/25/2025","1,268.78","1,260.97","1,270.32","1,256.73","6.48B","1.28%"
"11/24/2025","1,252.73","1,260.46","1,261.44","1,252.72","6.20B","-0.13%"
"11/21/2025","1,254.40","1,268.21","1,272.31","1,248.89","7.19B","-2.14%"
"11/20/2025","1,281.81","1,282.63","1,294.45","1,278.44","7.14B","0.76%"
"11/19/2025","1,272.17","1,272.04","1,275.60","1,263.22","6.25B","0.17%"
"11/18/2025","1,270.04","1,268.57","1,277.73","1,267.08","6.24B","-0.78%"
"11/17/2025","1,280.07","1,268.12","1,282.03","1,262.93","6.20B","0.85%"
"11/14/2025","1,269.26","1,278.55","1,286.71","1,263.62","6.96B","-1.41%"
"11/13/2025","1,287.44","1,288.64","1,292.42","1,282.06","7.00B","0.20%"
"11/12/2025","1,284.81","1,303.71","1,303.71","1,284.80","7.24B","-1.20%"
"11/11/2025","1,300.47","1,307.70","1,309.86","1,297.63","6.57B","-0.44%"
"11/10/2025","1,306.26","1,306.97","1,310.71","1,299.29","6.31B","0.26%"
"11/07/2025","1,302.91","1,309.55","1,314.63","1,302.46","5.46B","-0.79%"
"11/06/2025","1,313.31","1,303.50","1,316.59","1,298.64","6.86B","1.39%"
"11/05/2025","1,295.29","1,286.39","1,301.06","1,283.13","7.43B","-0.25%"
"11/04/2025","1,298.60","1,306.19","1,313.40","1,296.03","7.22B","-0.78%"
"11/03/2025","1,308.86","1,315.69","1,317.48","1,304.72","5.70B","-0.05%"
"10/31/2025","1,309.50","1,308.03","1,318.33","1,304.11","6.43B","-0.39%"
"10/30/2025","1,314.65","1,308.07","1,320.23","1,302.30","9.72B","-0.08%"
"10/29/2025","1,315.64","1,315.68","1,321.79","1,312.80","5.55B","0.10%"
"10/28/2025","1,314.28","1,328.91","1,331.69","1,311.41","7.63B","-0.70%"
"10/27/2025","1,323.52","1,324.15","1,345.86","1,322.91","8.72B","0.73%"
"10/24/2025","1,313.91","1,308.81","1,321.57","1,305.49","8.17B","0.89%"
"10/22/2025","1,302.35","1,292.11","1,311.24","1,287.29","8.77B","0.90%"
"10/21/2025","1,290.72","1,290.42","1,295.11","1,286.83","6.78B","0.49%"
"10/20/2025","1,284.47","1,285.91","1,289.65","1,281.80","6.02B","0.77%"
"10/17/2025","1,274.61","1,282.34","1,289.73","1,274.10","8.32B","-1.30%"
"10/16/2025","1,291.46","1,292.57","1,299.43","1,286.60","6.73B","0.37%"
"10/15/2025","1,286.69","1,276.88","1,289.09","1,274.21","8.32B","1.60%"
"10/14/2025","1,266.38","1,287.24","1,291.20","1,266.38","10.14B","-1.60%"
"10/10/2025","1,286.98","1,291.07","1,296.55","1,282.47","7.09B","-2.06%"
"10/09/2025","1,313.99","1,309.57","1,317.88","1,309.01","8.65B","0.70%"
"10/08/2025","1,304.92","1,305.12","1,314.07","1,303.48","7.98B","-0.02%"
"10/07/2025","1,305.24","1,293.68","1,310.68","1,291.90","7.95B","1.52%"
"10/06/2025","1,285.64","1,296.29","1,299.24","1,285.64","7.20B","-0.62%"
"10/03/2025","1,293.61","1,290.33","1,300.05","1,286.27","8.05B","0.41%"
"10/02/2025","1,288.29","1,284.75","1,294.14","1,282.95","8.28B","1.04%"
"10/01/2025","1,275.03","1,272.46","1,280.81","1,271.78","7.11B","0.07%"
"09/30/2025","1,274.17","1,286.40","1,290.54","1,270.42","9.58B","-1.08%"
"09/29/2025","1,288.07","1,285.71","1,292.24","1,278.90","7.22B","0.73%"
"09/26/2025","1,278.74","1,285.45","1,288.13","1,278.20","6.66B","-0.74%"
"09/25/2025","1,288.26","1,280.79","1,289.71","1,279.11","7.24B","0.77%"
"09/24/2025","1,278.41","1,273.50","1,282.19","1,268.49","8.20B","0.41%"
"09/23/2025","1,273.20","1,284.99","1,290.84","1,272.68","9.23B","-0.73%"
"09/22/2025","1,282.54","1,294.69","1,296.42","1,282.54","8.17B","-0.79%"
"09/19/2025","1,292.72","1,299.85","1,302.49","1,292.41","9.91B","-0.33%"
"09/18/2025","1,297.01","1,312.15","1,312.74","1,292.73","10.92B","-0.74%"
"09/17/2025","1,306.69","1,308.73","1,311.80","1,304.67","10.22B","-0.11%"
"09/16/2025","1,308.19","1,304.37","1,309.90","1,303.29","9.32B","0.65%"
"09/15/2025","1,299.78","1,294.59","1,300.60","1,287.94","8.09B","0.48%"
"09/12/2025","1,293.62","1,295.44","1,299.19","1,289.31","7.97B","0.43%"
"09/11/2025","1,288.03","1,279.48","1,291.64","1,279.48","9.94B","0.78%"
"09/10/2025","1,278.05","1,279.02","1,281.19","1,274.39","9.73B","0.15%"
"09/09/2025","1,276.08","1,269.31","1,276.08","1,266.58","10.83B","0.79%"
"09/08/2025","1,266.11","1,273.62","1,276.15","1,264.79","10.73B","0.10%"
"09/05/2025","1,264.80","1,258.62","1,270.31","1,255.71","11.43B","0.98%"
"09/04/2025","1,252.55","1,262.38","1,270.74","1,250.86","9.82B","-0.54%"
"09/03/2025","1,259.31","1,250.79","1,261.85","1,249.91","10.82B","0.84%"
"09/02/2025","1,248.78","1,248.59","1,253.60","1,243.48","8.23B","0.35%"
"09/01/2025","1,244.48","1,234.94","1,246.58","1,230.55","7.45B","0.64%"
"08/29/2025","1,236.61","1,248.32","1,255.84","1,236.61","10.93B","-1.08%"
"08/28/2025","1,250.09","1,247.76","1,255.44","1,246.00","7.93B","0.17%"
"08/27/2025","1,248.03","1,253.41","1,260.75","1,246.86","8.00B","-0.26%"
"08/26/2025","1,251.26","1,255.95","1,262.93","1,249.45","9.80B","-0.90%"
"08/25/2025","1,262.67","1,264.69","1,268.13","1,260.76","8.60B","0.74%"
"08/22/2025","1,253.39","1,247.25","1,257.99","1,245.30","8.21B","0.69%"
"08/21/2025","1,244.79","1,252.61","1,254.52","1,243.53","10.12B","-0.27%"
"08/20/2025","1,248.13","1,234.49","1,251.14","1,228.43","10.93B","1.00%"
"08/19/2025","1,235.76","1,238.85","1,248.40","1,235.76","8.50B","-0.53%"
"08/18/2025","1,242.31","1,260.23","1,260.23","1,242.31","8.30B","-1.36%"
"08/15/2025","1,259.42","1,268.88","1,270.89","1,253.51","9.84B","-0.57%"
"08/14/2025","1,266.67","1,277.09","1,283.55","1,266.05","10.11B","-0.84%"
"08/13/2025","1,277.43","1,270.55","1,280.16","1,263.93","10.71B","1.46%"
"08/08/2025","1,259.07","1,260.48","1,266.01","1,253.24","9.14B","-0.48%"
